survey_id,survey_date,region,surveyor,household_size,monthly_income_inr,primary_water_source,sanitation_type,distance_to_water_km,satisfaction_score,survey_status,toilet_access,handwash_facility
SRV0237,2024-06-13,Faridabad,Priya S.,2,15000,Hand Pump,Community Toilet,4.2,2,Dropout,No,No
SRV0238,2024-11-23,Faridabad,Arjun K.,2,36000,Tanker,Community Toilet,3.6,4,Complete,No,Yes
SRV0239,2024-11-01,Delhi,Priya S.,7,18000,Tap,Open Defecation,4.7,2,Complete,Yes,Yes
SRV0240,2024-11-17,Gurugram,Ravi T.,7,20000,River,Pit Latrine,1.0,4,Partial,No,Yes
SRV0241,2025-04-11,Ghaziabad,Ravi T.,7,22000,Tanker,Community Toilet,1.1,1,Complete,Yes,Yes
SRV0242,2024-12-05,Noida,Arjun K.,8,40000,River,Flush Toilet,2.7,3,Complete,No,No
SRV0243,2025-03-28,Delhi,Meena R.,8,52000,Hand Pump,Community Toilet,3.6,3,Complete,Yes,Yes
SRV0244,2024-11-08,Delhi,Arjun K.,7,17000,Hand Pump,Flush Toilet,2.6,4,Complete,Yes,No
SRV0245,2025-01-03,Ghaziabad,Ravi T.,5,26000,Tanker,Pit Latrine,0.8,3,Partial,No,Yes
SRV0246,2024-12-01,Delhi,Ravi T.,6,41000,Borewell,Pit Latrine,3.3,4,Partial,No,No
SRV0247,2025-05-30,Faridabad,Ravi T.,8,57000,Borewell,Flush Toilet,1.2,1,Partial,No,Yes
SRV0248,2025-03-03,Noida,Arjun K.,2,45000,River,Community Toilet,0.7,5,Complete,No,Yes
SRV0249,2025-01-12,Gurugram,Arjun K.,7,57000,River,Flush Toilet,1.3,1,Partial,No,No
SRV0250,2024-11-26,Delhi,Ravi T.,7,46000,Tap,Pit Latrine,3.5,5,Complete,No,Yes
SRV0251,2025-04-12,Ghaziabad,Arjun K.,6,26000,Borewell,Flush Toilet,3.0,2,Partial,No,No
SRV0252,2024-10-27,Gurugram,Meena R.,8,59000,Tanker,Flush Toilet,2.1,1,Complete,No,Yes
SRV0253,2025-05-26,Ghaziabad,Arjun K.,8,52000,Borewell,Open Defecation,2.0,2,Dropout,No,No
SRV0254,2024-12-10,Faridabad,Priya S.,4,53000,Tap,Community Toilet,4.7,3,Complete,No,No
SRV0255,2024-11-15,Gurugram,Priya S.,7,31000,Tap,Community Toilet,4.3,5,Complete,No,Yes
SRV0256,2025-01-06,Ghaziabad,Ravi T.,4,43000,Hand Pump,Open Defecation,2.9,5,Dropout,No,No
SRV0257,2025-05-16,Delhi,Priya S.,8,18000,Tap,Community Toilet,2.3,1,Complete,No,Yes
SRV0258,2025-05-19,Ghaziabad,Meena R.,4,24000,Borewell,Open Defecation,0.5,2,Complete,Yes,No
SRV0259,2025-04-17,Noida,Arjun K.,2,21000,River,Flush Toilet,2.4,2,Partial,Yes,No
SRV0260,2024-06-05,Delhi,Meena R.,5,12000,Tap,Community Toilet,1.2,1,Complete,Yes,Yes
SRV0261,2024-11-08,Noida,Meena R.,8,16000,Borewell,Community Toilet,3.2,2,Partial,Yes,Yes
SRV0262,2025-04-09,Ghaziabad,Ravi T.,3,34000,Hand Pump,Pit Latrine,3.1,4,Partial,Yes,Yes
SRV0263,2024-07-22,Ghaziabad,Priya S.,5,28000,Tanker,Community Toilet,4.0,2,Complete,No,Yes
SRV0264,2024-10-06,Gurugram,Sonal B.,7,9000,Tanker,Open Defecation,4.3,3,Partial,Yes,Yes
SRV0265,2024-12-18,Noida,Priya S.,3,40000,Borewell,Community Toilet,3.2,1,Complete,Yes,No
SRV0266,2024-11-10,Ghaziabad,Ravi T.,7,19000,Tanker,Community Toilet,3.8,1,Complete,Yes,Yes
SRV0267,2024-06-08,Noida,Arjun K.,5,41000,Tap,Flush Toilet,1.5,5,Dropout,No,No
SRV0268,2025-05-26,Faridabad,Priya S.,4,13000,Tanker,Pit Latrine,2.6,2,Complete,Yes,No
SRV0269,2024-12-18,Gurugram,Priya S.,8,23000,Hand Pump,Community Toilet,0.4,1,Partial,No,Yes
SRV0270,2025-01-19,Gurugram,Sonal B.,7,56000,Tap,Open Defecation,1.0,1,Complete,Yes,Yes
SRV0271,2024-08-23,Faridabad,Meena R.,3,57000,Tanker,Open Defecation,3.9,3,Complete,Yes,Yes
SRV0272,2024-11-19,Faridabad,Meena R.,6,49000,Tanker,Flush Toilet,0.5,4,Complete,No,Yes
SRV0273,2025-02-11,Gurugram,Arjun K.,2,45000,Hand Pump,Pit Latrine,3.4,1,Complete,Yes,Yes
SRV0274,2024-06-23,Delhi,Arjun K.,3,19000,Tap,Community Toilet,4.7,1,Complete,No,Yes
SRV0275,2024-11-12,Ghaziabad,Ravi T.,6,32000,Hand Pump,Open Defecation,0.7,1,Dropout,Yes,Yes
SRV0276,2025-02-20,Delhi,Ravi T.,8,28000,Tap,Community Toilet,1.7,5,Partial,No,Yes
SRV0277,2024-12-06,Ghaziabad,Meena R.,3,38000,Tanker,Open Defecation,1.9,4,Partial,Yes,Yes
SRV0278,2024-08-17,Delhi,Ravi T.,7,53000,Tap,Pit Latrine,4.4,3,Complete,Yes,No
SRV0279,2024-11-05,Delhi,Arjun K.,2,17000,Tanker,Pit Latrine,3.6,1,Complete,Yes,Yes
SRV0280,2025-02-22,Faridabad,Meena R.,6,16000,River,Flush Toilet,3.2,4,Partial,Yes,Yes
SRV0281,2025-01-09,Ghaziabad,Arjun K.,8,33000,Hand Pump,Open Defecation,3.5,3,Dropout,No,No
SRV0282,2024-10-18,Ghaziabad,Priya S.,6,15000,Borewell,Pit Latrine,0.9,2,Partial,No,No
SRV0283,2024-11-08,Faridabad,Priya S.,3,37000,Tanker,Open Defecation,1.6,3,Dropout,Yes,Yes
SRV0284,2024-08-20,Noida,Sonal B.,4,17000,Tap,Pit Latrine,0.5,2,Partial,No,No
SRV0285,2025-02-18,Delhi,Meena R.,5,37000,Hand Pump,Pit Latrine,2.8,5,Complete,Yes,Yes
SRV0286,2025-01-23,Delhi,Arjun K.,8,22000,Tap,Flush Toilet,0.7,4,Complete,No,Yes
SRV0287,2025-03-26,Gurugram,Meena R.,3,50000,Tap,Flush Toilet,2.3,2,Dropout,Yes,No
SRV0288,2024-08-02,Delhi,Ravi T.,5,55000,Tap,Pit Latrine,2.0,1,Dropout,No,No
SRV0289,2024-08-28,Noida,Arjun K.,3,10000,Borewell,Open Defecation,3.1,5,Complete,Yes,No
SRV0290,2025-02-11,Faridabad,Sonal B.,5,16000,River,Flush Toilet,2.2,5,Complete,Yes,Yes
SRV0291,2024-12-13,Noida,Ravi T.,6,40000,Tanker,Community Toilet,1.7,3,Complete,Yes,Yes
SRV0292,2024-11-11,Gurugram,Arjun K.,5,42000,Tap,Open Defecation,1.9,5,Complete,Yes,Yes
SRV0293,2024-07-22,Ghaziabad,Arjun K.,3,45000,Hand Pump,Flush Toilet,4.2,4,Partial,No,Yes
SRV0294,2024-08-30,Ghaziabad,Sonal B.,2,54000,Hand Pump,Open Defecation,3.5,5,Dropout,Yes,Yes
SRV0295,2025-02-08,Gurugram,Meena R.,2,23000,Borewell,Community Toilet,3.0,1,Complete,No,Yes
SRV0296,2024-11-17,Gurugram,Arjun K.,8,29000,Borewell,Open Defecation,0.4,2,Partial,Yes,Yes
SRV0297,2025-02-25,Noida,Priya S.,4,27000,Hand Pump,Community Toilet,1.7,2,Complete,No,No
SRV0298,2025-04-29,Noida,Arjun K.,6,19000,Tanker,Open Defecation,2.0,3,Complete,Yes,Yes
SRV0299,2024-06-01,Gurugram,Ravi T.,4,48000,Tanker,Flush Toilet,1.2,5,Complete,Yes,No
SRV0300,2024-08-12,Noida,Priya S.,3,49000,Borewell,Open Defecation,4.4,1,Dropout,No,No
